Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales,Week_Number,Year,Month,Month_Name,Day_of_Week,Quarter,Season,Shipping Days
2018-08-28,2018-09-03,Standard Class,Kristina Nunn,Home Office,United States,Seattle,Washington,98105,West,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",1137.75,35,2018,8,August,Tuesday,3,Summer,6
2018-08-28,2018-09-03,Standard Class,Kristina Nunn,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,99.68,35,2018,8,August,Tuesday,3,Summer,6
2018-08-28,2018-09-03,Standard Class,Kristina Nunn,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,Newell 344,5.56,35,2018,8,August,Tuesday,3,Summer,6
2016-01-02,2016-01-04,Second Class,Claudia Bergmann,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Storage,"SAFCO Mobile Desk Side File, Wire Frame",85.52,53,2016,1,January,Saturday,1,Winter,2
2016-01-02,2016-01-04,Second Class,Claudia Bergmann,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Art,Newell 313,9.84,53,2016,1,January,Saturday,1,Winter,2
2016-01-02,2016-01-04,Second Class,Claudia Bergmann,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Paper,Xerox 1959,20.04,53,2016,1,January,Saturday,1,Winter,2
2016-10-09,2016-10-13,Second Class,Tim Brockman,Consumer,United States,New York City,New York,10024,East,Technology,Phones,Jawbone JAMBOX Wireless Bluetooth Speaker,631.96,40,2016,10,October,Sunday,4,Autumn,4
2016-10-09,2016-10-13,Second Class,Tim Brockman,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,Xerox 1895,23.92,40,2016,10,October,Sunday,4,Autumn,4
2015-12-13,2015-12-15,Second Class,Katherine Ducich,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Paper,White GlueTop Scratch Pads,90.24,50,2015,12,December,Sunday,4,Winter,2
2015-11-19,2015-11-23,Standard Class,John Murray,Consumer,United States,Jamestown,New York,14701,East,Technology,Phones,Apple iPhone 5,4548.81,47,2015,11,November,Thursday,4,Autumn,4
2017-09-10,2017-09-14,Second Class,Kean Thornton,Consumer,United States,Houston,Texas,77095,Central,Furniture,Tables,KI Adjustable-Height Table,300.93,36,2017,9,September,Sunday,3,Autumn,4
2017-09-10,2017-09-14,Second Class,Kean Thornton,Consumer,United States,Houston,Texas,77095,Central,Technology,Phones,Polycom VVX 310 VoIP phone,719.96,36,2017,9,September,Sunday,3,Autumn,4
2015-06-16,2015-06-22,Standard Class,Sonia Cooley,Consumer,United States,Mishawaka,Indiana,46544,Central,Furniture,Chairs,"Global Geo Office Task Chair, Gray",647.84,25,2015,6,June,Tuesday,2,Summer,6
2016-09-26,2016-10-01,Standard Class,Bryan Spruell,Home Office,United States,San Diego,California,92037,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",64.17,39,2016,9,September,Monday,3,Autumn,5
2016-09-26,2016-10-01,Standard Class,Bryan Spruell,Home Office,United States,San Diego,California,92037,West,Office Supplies,Envelopes,Cameo Buff Policy Envelopes,124.46,39,2016,9,September,Monday,3,Autumn,5
2017-05-19,2017-05-24,Standard Class,Bill Tyler,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Binders,GBC Personal VeloBind Strips,9.584,20,2017,5,May,Friday,2,Spring,5
2018-06-22,2018-06-23,First Class,Dan Campbell,Consumer,United States,Miami,Florida,33178,South,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",37.608,25,2018,6,June,Friday,2,Summer,1
2018-06-17,2018-06-20,First Class,Luke Schmidt,Corporate,United States,Skokie,Illinois,60076,Central,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",12.224,24,2018,6,June,Sunday,2,Summer,3
2018-06-17,2018-06-20,First Class,Luke Schmidt,Corporate,United States,Skokie,Illinois,60076,Central,Office Supplies,Binders,Avery Durable Binders,2.304,24,2018,6,June,Sunday,2,Summer,3
2018-06-17,2018-06-20,First Class,Luke Schmidt,Corporate,United States,Skokie,Illinois,60076,Central,Office Supplies,Binders,Fellowes Binding Cases,9.36,24,2018,6,June,Sunday,2,Summer,3
2017-11-14,2017-11-19,Standard Class,Ralph Ritter,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Labels,Avery 52,7.38,46,2017,11,November,Tuesday,4,Autumn,5
2015-07-25,2015-07-27,Second Class,Ken Lonsdale,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy",53.72,30,2015,7,July,Saturday,3,Summer,2
2015-07-25,2015-07-27,Second Class,Ken Lonsdale,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Supplies,High Speed Automatic Electric Letter Opener,8187.65,30,2015,7,July,Saturday,3,Summer,2
2015-07-25,2015-07-27,Second Class,Ken Lonsdale,Consumer,United States,San Francisco,California,94122,West,Furniture,Furnishings,Staple-based wall hangings,77.92,30,2015,7,July,Saturday,3,Summer,2
2016-07-02,2016-07-02,Same Day,Richard Bierner,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,32.784,26,2016,7,July,Saturday,3,Summer,0
2018-03-02,2018-03-08,Standard Class,Maribeth Yedwab,Corporate,United States,Los Angeles,California,90045,West,Technology,Phones,Panasonic KX TS3282B Corded phone,196.776,9,2018,3,March,Friday,1,Spring,6
2018-03-02,2018-03-08,Standard Class,Maribeth Yedwab,Corporate,United States,Los Angeles,California,90045,West,Technology,Accessories,Logitech G13 Programmable Gameboard with LCD Display,479.94,9,2018,3,March,Friday,1,Spring,6
2017-11-18,2017-11-23,Standard Class,Arthur Wiediger,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Storage,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",1117.92,46,2017,11,November,Saturday,4,Autumn,5
2016-04-18,2016-04-19,First Class,Kelly Williams,Consumer,United States,Monroe,Louisiana,71203,South,Technology,Accessories,Memorex Froggy Flash Drive 8 GB,106.5,16,2016,4,April,Monday,2,Spring,1
2018-12-02,2018-12-06,Standard Class,Daniel Byrd,Home Office,United States,Tampa,Florida,33614,South,Office Supplies,Binders,"Premier Elliptical Ring Binder, Black",45.66,48,2018,12,December,Sunday,4,Winter,4
2017-11-11,2017-11-17,Standard Class,Brenda Bowman,Corporate,United States,Chicago,Illinois,60623,Central,Technology,Accessories,Belkin F8E887 USB Wired Ergonomic Keyboard,95.968,45,2017,11,November,Saturday,4,Autumn,6
2017-11-11,2017-11-17,Standard Class,Brenda Bowman,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,Chairs,Global Chrome Stack Chair,47.992,45,2017,11,November,Saturday,4,Autumn,6
2015-09-05,2015-09-10,Standard Class,Nora Preis,Consumer,United States,Bowling Green,Ohio,43402,East,Office Supplies,Storage,Economy Rollaway Files,264.32,36,2015,9,September,Saturday,3,Autumn,5
2015-11-15,2015-11-22,Standard Class,Peter Bühler,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Envelopes,Ames Color-File Green Diamond Border X-ray Mailers,604.656,46,2015,11,November,Sunday,4,Autumn,7
2018-05-02,2018-05-07,Standard Class,Dorothy Wardle,Corporate,United States,Westfield,New Jersey,7090,East,Furniture,Furnishings,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,129.93,18,2018,5,May,Wednesday,2,Spring,5
2017-10-15,2017-10-21,Standard Class,Cynthia Delaney,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Labels,Avery 49,20.16,41,2017,10,October,Sunday,4,Autumn,6
2017-10-15,2017-10-21,Standard Class,Cynthia Delaney,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Labels,Avery 508,29.46,41,2017,10,October,Sunday,4,Autumn,6
2017-10-15,2017-10-21,Standard Class,Cynthia Delaney,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Appliances,Hoover Upright Vacuum With Dirt Cup,868.59,41,2017,10,October,Sunday,4,Autumn,6
2017-10-15,2017-10-21,Standard Class,Cynthia Delaney,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Paper,Xerox 1999,12.96,41,2017,10,October,Sunday,4,Autumn,6
2017-10-15,2017-10-21,Standard Class,Cynthia Delaney,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Technology,Phones,Samsung Replacement EH64AVFWE Premium Headset,5.5,41,2017,10,October,Sunday,4,Autumn,6
2017-10-15,2017-10-21,Standard Class,Cynthia Delaney,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Binders,Ibico Plastic Spiral Binding Combs,121.6,41,2017,10,October,Sunday,4,Autumn,6
2016-04-06,2016-04-10,Standard Class,Thomas Thornton,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Art,Newell 312,42.048,14,2016,4,April,Wednesday,2,Spring,4
2016-04-06,2016-04-10,Standard Class,Thomas Thornton,Consumer,United States,Houston,Texas,77041,Central,Technology,Accessories,Maxell 4.7GB DVD-RW 3/Pack,25.488,14,2016,4,April,Wednesday,2,Spring,4
2016-04-06,2016-04-10,Standard Class,Thomas Thornton,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,Ibico Covers for Plastic or Wire Binding Elements,6.9,14,2016,4,April,Wednesday,2,Spring,4
2016-04-06,2016-04-10,Standard Class,Thomas Thornton,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,"Fellowes Twister Kit, Gray/Clear, 3/pkg",9.648,14,2016,4,April,Wednesday,2,Spring,4
2016-04-06,2016-04-10,Standard Class,Thomas Thornton,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Paper,Xerox 1949,7.968,14,2016,4,April,Wednesday,2,Spring,4
2015-10-24,2015-10-29,Standard Class,Daniel Byrd,Home Office,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Paper,Xerox 210,10.368,43,2015,10,October,Saturday,4,Autumn,5
2015-08-17,2015-08-21,Standard Class,Don Jones,Corporate,United States,Little Rock,Arkansas,72209,South,Office Supplies,Paper,Xerox 1929,114.2,34,2015,8,August,Monday,3,Summer,4
2015-08-17,2015-08-21,Standard Class,Don Jones,Corporate,United States,Little Rock,Arkansas,72209,South,Office Supplies,Binders,Avery Non-Stick Binders,17.96,34,2015,8,August,Monday,3,Summer,4
2015-08-17,2015-08-21,Standard Class,Don Jones,Corporate,United States,Little Rock,Arkansas,72209,South,Office Supplies,Fasteners,Colored Push Pins,12.67,34,2015,8,August,Monday,3,Summer,4
2015-08-17,2015-08-21,Standard Class,Don Jones,Corporate,United States,Little Rock,Arkansas,72209,South,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,34,2015,8,August,Monday,3,Summer,4
2018-08-15,2018-08-18,Second Class,Dionis Lloyd,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Storage,Tennsco Single-Tier Lockers,1801.632,33,2018,8,August,Wednesday,3,Summer,3
2016-09-06,2016-09-08,First Class,Lori Olson,Corporate,United States,La Quinta,California,92253,West,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,46.32,36,2016,9,September,Tuesday,3,Autumn,2
2016-01-27,2016-01-29,Second Class,Seth Vernon,Consumer,United States,Cleveland,Ohio,44105,East,Furniture,Chairs,High-Back Leather Manager's Chair,181.986,4,2016,1,January,Wednesday,1,Winter,2
2016-01-27,2016-01-29,Second Class,Seth Vernon,Consumer,United States,Cleveland,Ohio,44105,East,Technology,Phones,Polycom VVX 310 VoIP phone,431.976,4,2016,1,January,Wednesday,1,Winter,2
2016-01-27,2016-01-29,Second Class,Seth Vernon,Consumer,United States,Cleveland,Ohio,44105,East,Technology,Phones,Nortel Meridian M5316 Digital phone,155.37,4,2016,1,January,Wednesday,1,Winter,2
2016-07-16,2016-07-16,Same Day,Eleni McCrary,Corporate,United States,San Francisco,California,94122,West,Furniture,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,1348.704,28,2016,7,July,Saturday,3,Summer,0
2016-07-16,2016-07-16,Same Day,Eleni McCrary,Corporate,United States,San Francisco,California,94122,West,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,700.152,28,2016,7,July,Saturday,3,Summer,0
2017-04-30,2017-05-04,Standard Class,Ken Dana,Corporate,United States,Scottsdale,Arizona,85254,West,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,111.888,17,2017,4,April,Sunday,2,Spring,4
2015-09-26,2015-10-01,Second Class,Nicole Brennan,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,143.952,39,2015,9,September,Saturday,3,Autumn,5
2017-09-08,2017-09-14,Standard Class,Anne Pryor,Home Office,United States,Malden,Massachusetts,2148,East,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish",173.94,36,2017,9,September,Friday,3,Autumn,6
2017-09-08,2017-09-14,Standard Class,Anne Pryor,Home Office,United States,Malden,Massachusetts,2148,East,Office Supplies,Labels,Avery 52,14.76,36,2017,9,September,Friday,3,Autumn,6
2018-04-16,2018-04-20,Standard Class,Joel Eaton,Consumer,United States,San Jose,California,95123,West,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",205.92,16,2018,4,April,Monday,2,Spring,4
2018-04-16,2018-04-20,Standard Class,Joel Eaton,Consumer,United States,San Jose,California,95123,West,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,102.833,16,2018,4,April,Monday,2,Spring,4
2016-08-16,2016-08-22,Standard Class,John Murray,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Art,Newell 346,2.304,33,2016,8,August,Tuesday,3,Summer,6
2016-08-16,2016-08-22,Standard Class,John Murray,Consumer,United States,Phoenix,Arizona,85023,West,Technology,Phones,Samsung Galaxy S4 Mini,1879.96,33,2016,8,August,Tuesday,3,Summer,6
2016-08-16,2016-08-22,Standard Class,John Murray,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Paper,Xerox 1891,313.024,33,2016,8,August,Tuesday,3,Summer,6
2016-08-16,2016-08-22,Standard Class,John Murray,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Labels,Avery 488,5.04,33,2016,8,August,Tuesday,3,Summer,6
2018-11-19,2018-11-23,Standard Class,Adrian Barton,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",821.88,47,2018,11,November,Monday,4,Autumn,4
2018-11-19,2018-11-23,Standard Class,Adrian Barton,Consumer,United States,Henderson,Kentucky,42420,South,Office Supplies,Binders,GBC Imprintable Covers,21.96,47,2018,11,November,Monday,4,Autumn,4
2017-09-14,2017-09-18,Standard Class,Parhena Norris,Home Office,United States,Columbia,South Carolina,29203,South,Office Supplies,Paper,Xerox 224,25.92,37,2017,9,September,Thursday,3,Autumn,4
2017-08-15,2017-08-20,Standard Class,John Castell,Consumer,United States,Tallahassee,Florida,32303,South,Technology,Phones,HTC One Mini,705.544,33,2017,8,August,Tuesday,3,Summer,5
2016-09-26,2016-09-30,Standard Class,Philip Fox,Consumer,United States,New York City,New York,10035,East,Technology,Accessories,Dell Slim USB Multimedia Keyboard,50.0,39,2016,9,September,Monday,3,Autumn,4
2017-10-08,2017-10-14,Standard Class,Bart Watters,Corporate,United States,Houston,Texas,77070,Central,Furniture,Furnishings,Contemporary Wood/Metal Frame,51.712,40,2017,10,October,Sunday,4,Autumn,6
2016-03-24,2016-03-30,Standard Class,Ben Peterman,Corporate,United States,Coral Springs,Florida,33065,South,Office Supplies,Appliances,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",6.992,12,2016,3,March,Thursday,1,Spring,6
2016-05-31,2016-06-04,Standard Class,Tamara Manning,Consumer,United States,Orem,Utah,84057,West,Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,1406.86,22,2016,5,May,Tuesday,2,Spring,4
2016-05-31,2016-06-04,Standard Class,Tamara Manning,Consumer,United States,Orem,Utah,84057,West,Office Supplies,Labels,Self-Adhesive Removable Labels,15.75,22,2016,5,May,Tuesday,2,Spring,4
2016-05-31,2016-06-04,Standard Class,Tamara Manning,Consumer,United States,Orem,Utah,84057,West,Office Supplies,Storage,Fellowes Super Stor/Drawer Files,323.1,22,2016,5,May,Tuesday,2,Spring,4
2016-12-25,2016-12-31,Standard Class,Maria Bertelson,Consumer,United States,Nashville,Tennessee,37211,South,Office Supplies,Labels,Avery 474,9.216,51,2016,12,December,Sunday,4,Winter,6
2016-12-25,2016-12-31,Standard Class,Maria Bertelson,Consumer,United States,Nashville,Tennessee,37211,South,Office Supplies,Paper,Xerox 227,10.368,51,2016,12,December,Sunday,4,Winter,6
2016-03-17,2016-03-22,Second Class,Harold Ryan,Corporate,United States,New York City,New York,10009,East,Technology,Accessories,KeyTronic KT800P2 - Keyboard - Black,15.02,11,2016,3,March,Thursday,1,Spring,5
2016-03-17,2016-03-22,Second Class,Harold Ryan,Corporate,United States,New York City,New York,10009,East,Office Supplies,Storage,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",33.82,11,2016,3,March,Thursday,1,Spring,5
2018-12-21,2018-12-24,First Class,Brian Derr,Consumer,United States,Bowling Green,Kentucky,42104,South,Technology,Accessories,Memorex Froggy Flash Drive 8 GB,71.0,51,2018,12,December,Friday,4,Winter,3
2018-11-01,2018-11-03,Second Class,Sarah Foster,Consumer,United States,Bellingham,Washington,98226,West,Office Supplies,Binders,GBC Standard Plastic Binding Systems' Combs,25.12,44,2018,11,November,Thursday,4,Autumn,2
2018-11-01,2018-11-03,Second Class,Sarah Foster,Consumer,United States,Bellingham,Washington,98226,West,Furniture,Tables,Hon 94000 Series Round Tables,2665.62,44,2018,11,November,Thursday,4,Autumn,2
2018-09-07,2018-09-11,Standard Class,Stefania Perrino,Corporate,United States,New York City,New York,10011,East,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",478.08,36,2018,9,September,Friday,3,Autumn,4
2018-12-27,2018-12-27,Same Day,Dan Reichenbach,Corporate,United States,Newark,Ohio,43055,East,Technology,Phones,AT&T 1080 Corded phone,164.388,52,2018,12,December,Thursday,4,Winter,0
2018-12-27,2018-12-27,Same Day,Dan Reichenbach,Corporate,United States,Newark,Ohio,43055,East,Office Supplies,Art,BIC Brite Liner Highlighters,13.248,52,2018,12,December,Thursday,4,Winter,0
2018-07-16,2018-07-21,Standard Class,Valerie Mitchum,Home Office,United States,Woodstock,Illinois,60098,Central,Office Supplies,Art,"Crayola Anti Dust Chalk, 12/Pack",2.912,29,2018,7,July,Monday,3,Summer,5
2017-08-12,2017-08-15,Second Class,Chris McAfee,Consumer,United States,Carrollton,Texas,75007,Central,Technology,Accessories,Logitech diNovo Edge Keyboard,1399.944,32,2017,8,August,Saturday,3,Summer,3
2018-07-09,2018-07-14,Standard Class,Sean Miller,Home Office,United States,Lafayette,Indiana,47905,Central,Furniture,Furnishings,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,526.45,28,2018,7,July,Monday,3,Summer,5
2015-11-22,2015-11-27,Standard Class,Ruben Ausman,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,Envelopes,Fashion Color Clasp Envelopes,16.23,47,2015,11,November,Sunday,4,Autumn,5
2015-11-22,2015-11-27,Standard Class,Ruben Ausman,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,Binders,GBC ProClick Punch Binding System,319.9,47,2015,11,November,Sunday,4,Autumn,5
2015-11-22,2015-11-27,Standard Class,Ruben Ausman,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,Envelopes,Staple envelope,11.36,47,2015,11,November,Sunday,4,Autumn,5
2015-11-22,2015-11-27,Standard Class,Ruben Ausman,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,Appliances,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,675.12,47,2015,11,November,Sunday,4,Autumn,5
2015-01-26,2015-01-31,Standard Class,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82,5,2015,1,January,Monday,1,Winter,5
2015-01-26,2015-01-31,Standard Class,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",489.92,5,2015,1,January,Monday,1,Winter,5
2015-01-26,2015-01-31,Standard Class,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19.44,5,2015,1,January,Monday,1,Winter,5
2015-01-26,2015-01-31,Standard Class,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16.68,5,2015,1,January,Monday,1,Winter,5
2015-01-26,2015-01-31,Standard Class,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,Technology,Phones,Macally Suction Cup Mount,155.35,5,2015,1,January,Monday,1,Winter,5
2015-01-26,2015-01-31,Standard Class,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12.42,5,2015,1,January,Monday,1,Winter,5
2015-01-26,2015-01-31,Standard Class,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,Technology,Phones,Jabra SPEAK 410,187.98,5,2015,1,January,Monday,1,Winter,5
2016-11-03,2016-11-10,Standard Class,Chris Selesnick,Corporate,United States,Haltom City,Texas,76117,Central,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",6.608,44,2016,11,November,Thursday,4,Autumn,7
2018-06-30,2018-07-06,Standard Class,Ralph Arnett,Consumer,United States,New York City,New York,10024,East,Office Supplies,Storage,Steel Personal Filing/Posting Tote,248.57,26,2018,6,June,Saturday,2,Summer,6
2018-06-30,2018-07-06,Standard Class,Ralph Arnett,Consumer,United States,New York City,New York,10024,East,Furniture,Furnishings,"Executive Impressions 14""",22.23,26,2018,6,June,Saturday,2,Summer,6
2017-05-05,2017-05-09,Standard Class,Barry Franz,Home Office,United States,Los Angeles,California,90004,West,Office Supplies,Storage,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",5.98,18,2017,5,May,Friday,2,Spring,4
2017-05-05,2017-05-09,Standard Class,Barry Franz,Home Office,United States,Los Angeles,California,90004,West,Technology,Phones,Cisco Small Business SPA 502G VoIP phone,246.168,18,2017,5,May,Friday,2,Spring,4
2017-09-08,2017-09-14,Standard Class,Sanjit Engle,Consumer,United States,Wheeling,Illinois,60090,Central,Furniture,Furnishings,"Executive Impressions 12"" Wall Clock",14.136,36,2017,9,September,Friday,3,Autumn,6
2017-09-08,2017-09-14,Standard Class,Sanjit Engle,Consumer,United States,Wheeling,Illinois,60090,Central,Furniture,Tables,Bretford CR8500 Series Meeting Room Furniture,601.47,36,2017,9,September,Friday,3,Autumn,6
2018-11-24,2018-11-26,Second Class,Roland Schwarz,Corporate,United States,Summerville,South Carolina,29483,South,Technology,Phones,Motorla HX550 Universal Bluetooth Headset,79.1,47,2018,11,November,Saturday,4,Autumn,2
2018-11-24,2018-11-26,Second Class,Roland Schwarz,Corporate,United States,Summerville,South Carolina,29483,South,Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",327.84,47,2018,11,November,Saturday,4,Autumn,2
2018-05-13,2018-05-17,Standard Class,Brian Moss,Corporate,United States,Columbus,Indiana,47201,Central,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,180.96,19,2018,5,May,Sunday,2,Spring,4
2018-05-13,2018-05-17,Standard Class,Brian Moss,Corporate,United States,Columbus,Indiana,47201,Central,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,914.97,19,2018,5,May,Sunday,2,Spring,4
2018-05-13,2018-05-17,Standard Class,Brian Moss,Corporate,United States,Columbus,Indiana,47201,Central,Technology,Phones,Plantronics Calisto P620-M USB Wireless Speakerphone System,587.97,19,2018,5,May,Sunday,2,Spring,4
2018-05-13,2018-05-17,Standard Class,Brian Moss,Corporate,United States,Columbus,Indiana,47201,Central,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,530.34,19,2018,5,May,Sunday,2,Spring,4
2018-05-13,2018-05-17,Standard Class,Brian Moss,Corporate,United States,Columbus,Indiana,47201,Central,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),14.94,19,2018,5,May,Sunday,2,Spring,4
2018-04-23,2018-04-29,Standard Class,Sally Knutson,Consumer,United States,New York City,New York,10024,East,Office Supplies,Appliances,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,121.94,17,2018,4,April,Monday,2,Spring,6
2018-04-23,2018-04-29,Standard Class,Sally Knutson,Consumer,United States,New York City,New York,10024,East,Office Supplies,Supplies,"Acme 10"" Easy Grip Assistive Scissors",122.71,17,2018,4,April,Monday,2,Spring,6
2017-06-04,2017-06-04,Same Day,Edward Nazzal,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,Easy-staple paper,14.94,22,2017,6,June,Sunday,2,Summer,0
2017-06-04,2017-06-04,Same Day,Edward Nazzal,Consumer,United States,New York City,New York,10035,East,Technology,Machines,Panasonic KX MC6040 Color Laser Multifunction Printer,1349.85,22,2017,6,June,Sunday,2,Summer,0
2017-06-04,2017-06-04,Same Day,Edward Nazzal,Consumer,United States,New York City,New York,10035,East,Furniture,Bookcases,Sauder Inglewood Library Bookcases,136.784,22,2017,6,June,Sunday,2,Summer,0
2017-06-04,2017-06-04,Same Day,Edward Nazzal,Consumer,United States,New York City,New York,10035,East,Furniture,Furnishings,"Linden 10"" Round Wall Clock, Black",61.12,22,2017,6,June,Sunday,2,Summer,0
2015-12-16,2015-12-21,Standard Class,Kean Nguyen,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,Binders,Avery Binder Labels,1.167,51,2015,12,December,Wednesday,4,Winter,5
2017-03-04,2017-03-10,Standard Class,Michael Granlund,Home Office,United States,San Diego,California,92024,West,Office Supplies,Art,Berol Giant Pencil Sharpener,16.99,9,2017,3,March,Saturday,1,Spring,6
2015-11-25,2015-11-30,Standard Class,Matt Collister,Corporate,United States,Arlington,Texas,76017,Central,Technology,Accessories,KeyTronic KT400U2 - Keyboard - Black,24.672,48,2015,11,November,Wednesday,4,Autumn,5
2015-11-25,2015-11-30,Standard Class,Matt Collister,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Labels,Avery 520,2.52,48,2015,11,November,Wednesday,4,Autumn,5
2015-11-25,2015-11-30,Standard Class,Matt Collister,Corporate,United States,Arlington,Texas,76017,Central,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1218.735,48,2015,11,November,Wednesday,4,Autumn,5
2015-11-25,2015-11-30,Standard Class,Matt Collister,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Labels,Avery 52,5.904,48,2015,11,November,Wednesday,4,Autumn,5
2015-11-25,2015-11-30,Standard Class,Matt Collister,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,15.696,48,2015,11,November,Wednesday,4,Autumn,5
